model,gain,spectral_rate,direct_eigen_rate,eta
Chain-attached,0.8300000000000001,0.024666691044657574,0.024666691044656908,0.8100194992713261
Chain-attached,0.835,0.030839381954564926,0.030839381954564482,0.8100194992713261
Chain-attached,0.84,0.0370120728644725,0.03701207286447228,0.8100194992713261
Chain-attached,0.845,0.043184763774380075,0.04318476377437963,0.8100194992713261
Chain-attached,0.85,0.04935745468428765,0.04935745468428698,0.8100194992713261
Chain-attached,0.855,0.055530145594195224,0.05553014559419478,0.8100194992713261
Chain-attached,0.86,0.0617028365041028,0.06170283650410191,0.8100194992713261
Chain-attached,0.865,0.06787552741401037,0.06787552741400993,0.8100194992713261
Chain-attached,0.87,0.07404821832391795,0.07404821832391728,0.8100194992713261
Chain-attached,0.875,0.08022090923382552,0.08022090923382441,0.8100194992713261
Chain-attached,0.88,0.0863936001437331,0.08639360014373221,0.8100194992713261
Chain-attached,0.885,0.09256629105364067,0.09256629105364023,0.8100194992713261
Chain-attached,0.89,0.09873898196354824,0.0987389819635478,0.8100194992713261
Chain-attached,0.895,0.10491167287345582,0.10491167287345515,0.8100194992713261
Chain-attached,0.9,0.1110843637833634,0.1110843637833625,0.8100194992713261
Chain-attached,0.905,0.11725705469327097,0.1172570546932703,0.8100194992713261
Chain-attached,0.91,0.12342974560317854,0.1234297456031781,0.8100194992713261
Chain-attached,0.915,0.12960243651308612,0.12960243651308545,0.8100194992713261
Chain-attached,0.92,0.1357751274229937,0.13577512742299302,0.8100194992713261
Chain-attached,0.925,0.1419478183329015,0.14194781833290082,0.8100194992713261
Chain-attached,0.93,0.14812050924280906,0.1481205092428084,0.8100194992713261
Chain-attached,0.935,0.15429320015271664,0.15429320015271575,0.8100194992713261
Chain-attached,0.9400000000000001,0.1604658910626242,0.16046589106262332,0.8100194992713261
Chain-attached,0.9450000000000001,0.16663858197253179,0.1666385819725309,0.8100194992713261
Chain-attached,0.9500000000000001,0.17281127288243936,0.17281127288243825,0.8100194992713261
Chain-attached,0.9550000000000001,0.17898396379234693,0.17898396379234627,0.8100194992713261
Chain-attached,0.96,0.1851566547022543,0.1851566547022534,0.8100194992713261
Chain-attached,0.965,0.19132934561216186,0.1913293456121612,0.8100194992713261
Chain-attached,0.97,0.19750203652206944,0.19750203652206877,0.8100194992713261
Chain-attached,0.975,0.203674727431977,0.20367472743197634,0.8100194992713261
Chain-attached,0.98,0.20984741834188458,0.20984741834188347,0.8100194992713261
Chain-attached,0.985,0.21602010925179216,0.21602010925179127,0.8100194992713261
Chain-attached,0.99,0.22219280016169973,0.22219280016169907,0.8100194992713261
Chain-attached,0.995,0.2283654910716073,0.22836549107160642,0.8100194992713261
Chain-attached,1.0,0.23453818198151488,0.234538181981514,0.8100194992713261
Chain-attached,1.0050000000000001,0.24071087289142268,0.24071087289142157,0.8100194992713261
Chain-attached,1.01,0.24688356380133003,0.24688356380132936,0.8100194992713261
Chain-attached,1.0150000000000001,0.2530562547112378,0.25305625471123716,0.8100194992713261
Chain-attached,1.02,0.2592289456211452,0.25922894562114496,0.8100194992713261
Chain-attached,1.025,0.26540163653105275,0.2654016365310514,0.8100194992713261
Chain-attached,1.03,0.27157432744096033,0.27157432744095944,0.8100194992713261
Chain-attached,1.035,0.2777470183508679,0.2777470183508668,0.8100194992713261
Chain-attached,1.04,0.2839197092607757,0.2839197092607746,0.8100194992713261
Chain-attached,1.045,0.29009240017068305,0.29009240017068216,0.8100194992713261
Chain-attached,1.05,0.29626509108059085,0.29626509108058974,0.8100194992713261
Chain-attached,1.055,0.3024377819904982,0.3024377819904973,0.8100194992713261
Chain-attached,1.06,0.308610472900406,0.3086104729004049,0.8100194992713261
Chain-attached,1.065,0.31478316381031335,0.3147831638103127,0.8100194992713261
Chain-attached,1.07,0.32095585472022115,0.32095585472022004,0.8100194992713261
Chain-attached,1.075,0.3271285456301285,0.32712854563012783,0.8100194992713261
Chain-attached,1.08,0.3333012365400363,0.33330123654003496,0.8100194992713261
Chain-attached,1.085,0.33947392744994365,0.33947392744994276,0.8100194992713261
Chain-attached,1.09,0.34564661835985144,0.34564661835985055,0.8100194992713261
Chain-attached,1.095,0.3518193092697588,0.35181930926975724,0.8100194992713261
