network,family,is_toy,variant,projection,residual,exact_expected,analytic_error,dimension,rank,observed_closed,nonzero_spectrum_condition
network_024,Modular,False,Constant bias,Node + order,6.707654789754054e-16,True,1.0489946784495664e-16,24,17,True,4.53427636193683
network_024,Modular,False,Constant bias,Node + order + degree,3.8020272435889106e-16,False,,144,23,True,2.7716385975338604
network_024,Modular,False,Full DMWA,Node,0.07828544284792546,False,,12,12,False,5.361825392782826
network_024,Modular,False,Full DMWA,Node + order,0.029727198489201884,False,,24,17,False,4.53427636193683
network_024,Modular,False,Full DMWA,Node + order + degree,3.9002291574289496e-16,True,8.443731051570087e-17,144,23,True,2.7716385975338604
network_025,Random,False,Coverage,Node,1.2840307116298876e-15,True,1.2045916289103815e-16,12,12,True,3.320243750527282
network_025,Random,False,Coverage,Node + order,1.3396712697591879e-15,False,,24,19,True,7.270704057355015
network_025,Random,False,Coverage,Node + order + degree,5.500705506502993e-16,False,,180,29,True,3.000000000000001
network_025,Random,False,Constant bias,Node,0.10943051554041117,False,,12,12,False,3.320243750527282
network_025,Random,False,Constant bias,Node + order,1.3624536336336474e-15,True,1.2230131595610143e-16,24,19,True,7.270704057355015
network_025,Random,False,Constant bias,Node + order + degree,5.367473014108828e-16,False,,180,29,True,3.000000000000001
network_025,Random,False,Full DMWA,Node,0.11254819432878031,False,,12,12,False,3.320243750527282
network_025,Random,False,Full DMWA,Node + order,0.03926517798430246,False,,24,19,False,7.270704057355015
network_025,Random,False,Full DMWA,Node + order + degree,5.447640493990036e-16,True,7.446643236740831e-17,180,29,True,3.000000000000001
network_026,Core-periphery,False,Coverage,Node,6.890359329568746e-16,True,2.2852351094045465e-16,12,12,True,3.453337529684607
network_026,Core-periphery,False,Coverage,Node + order,9.052793248973419e-16,False,,24,23,True,8.835434702015242
network_026,Core-periphery,False,Coverage,Node + order + degree,6.21153253000192e-16,False,,300,44,True,4.484605455340877
