network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa
network_026,Core-periphery,False,Constant bias,Node + order,2.2524705851295637e-16,5.551115123125783e-17,0.0,True,True,0.0,2.2221768784489197e-05,-0.43267119949463134
network_026,Core-periphery,False,Full DMWA,Node,0.00400570254677395,0.00035170325484697174,0.0,True,False,0.0,5.707535260499154e-05,-0.42997690564966556
network_026,Core-periphery,False,Full DMWA,Node + order,0.00038297743906703057,6.815194028985533e-05,0.0,True,False,0.0,2.0153197261498313e-05,-8.159082125324832e-17
network_026,Core-periphery,False,Full DMWA,Node + order + degree,2.0920700066888386e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.43285319855540494
network_027,Modular,False,Coverage,Node,2.924205123092811e-16,4.85722573273506e-17,0.0,True,True,0.0,0.00018827818955535072,-0.40055250990439495
network_027,Modular,False,Constant bias,Node,0.006584604518424956,0.0005899226405001318,0.0,True,False,0.0,0.0001742496294348374,-0.38858577159789354
network_027,Modular,False,Constant bias,Node + order,2.5669304028602256e-16,4.163336342344337e-17,0.0,True,True,0.0,5.780162212430572e-05,-0.3861330514718791
network_027,Modular,False,Full DMWA,Node,0.006612509197772807,0.0006611826655168462,0.0,True,False,0.0,0.0001710347667996982,-0.38858873937046395
network_027,Modular,False,Full DMWA,Node + order,0.0006885285779587836,0.0001164340474903991,0.0,True,False,0.0,5.6845447809656505e-05,1.986031226604898e-16
network_027,Modular,False,Full DMWA,Node + order + degree,2.2524242063160296e-16,2.7755575615628914e-17,0.0,True,True,0.0,0.0,-0.3862066964883545
network_028,Random,False,Coverage,Node,2.3583296745320634e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0002102975127130858,-0.44200179828335506
network_028,Random,False,Constant bias,Node,0.027632273241396034,0.002270705989047106,0.0,True,False,0.0,0.00017427641714693295,-0.3796404597482391
network_028,Random,False,Constant bias,Node + order,2.387602084372885e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3599854909720431
network_028,Random,False,Full DMWA,Node,0.028093209437646836,0.00236161084890861,0.0,True,False,0.0,0.00014932099024413605,-0.38014663477391036
network_028,Random,False,Full DMWA,Node + order,0.0009831600619717707,0.00013912353819360568,0.0,True,False,0.0,0.0,4.3144440141007215e-17
network_028,Random,False,Full DMWA,Node + order + degree,2.2920715360991906e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.36019923288799366
network_029,Core-periphery,False,Coverage,Node,2.968534619768483e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0001204504881478075,-0.3989999566838922
network_029,Core-periphery,False,Constant bias,Node,0.004015364890787191,0.0004755888288246503,0.0,True,False,0.0,0.00011094319709819215,-0.3877625664277949
