network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa,context,error_percent
network_042,Modular,FALSE,Full DMWA,Node,0.00538520087271049,5.2146950570919e-4,0,TRUE,FALSE,0,4.703232516547505e-5,-0.44367710545857875,Nodes,0.538520087271049
network_042,Modular,FALSE,Full DMWA,Node + order,6.2648974357213e-4,5.9938770365669525e-5,0,TRUE,FALSE,0,2.1679134920366204e-5,2.007053484100972e-16,"Nodes +
order",0.062648974357213
network_042,Modular,FALSE,Full DMWA,Node + order + degree,1.920101213926025e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.4398366397906085,"Nodes +
order + degree",1.920101213926025e-14
network_043,Random,FALSE,Full DMWA,Node,0.05265882350580508,0.00618464150315017,0,TRUE,FALSE,0,9.201219748002985e-5,-0.24628148840051756,Nodes,5.265882350580508
network_043,Random,FALSE,Full DMWA,Node + order,7.0250537658148e-4,1.5076956624792e-4,0,TRUE,FALSE,0,0,1.6703881459507167e-17,"Nodes +
order",0.07025053765814801
network_043,Random,FALSE,Full DMWA,Node + order + degree,2.491917382315631e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.22137860482999128,"Nodes +
order + degree",2.491917382315631e-14
network_044,Core-periphery,FALSE,Full DMWA,Node,0.0093839599993331,8.9197748165893e-4,0,TRUE,FALSE,0,2.754475399396556e-5,-0.3975783987206056,Nodes,0.93839599993331
network_044,Core-periphery,FALSE,Full DMWA,Node + order,8.7211418299711e-4,8.597115505556974e-5,0,TRUE,FALSE,0,0,1.0727680879654083e-16,"Nodes +
order",0.087211418299711
network_044,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.8805540224176503e-16,6.938893903907227e-17,0,TRUE,TRUE,0,0,-0.3914270445447728,"Nodes +
order + degree",2.8805540224176505e-14
network_045,Modular,FALSE,Full DMWA,Node,0.0084000689521679,0.0010746097498875,0,TRUE,FALSE,0,8.263301721178653e-6,-0.3172904983155189,Nodes,0.8400068952167901
network_045,Modular,FALSE,Full DMWA,Node + order,6.1887713268743e-4,1.0662519067368e-4,0,TRUE,FALSE,0,0,6.52631198745442e-17,"Nodes +
order",0.061887713268743004
network_045,Modular,FALSE,Full DMWA,Node + order + degree,2.5550438797631827e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.31477876116381653,"Nodes +
order + degree",2.5550438797631826e-14
network_046,Random,FALSE,Full DMWA,Node,0.02015685091247339,0.00184720488721233,0,TRUE,FALSE,0,1.381794390956e-4,-0.4361817302682786,Nodes,2.015685091247339
network_046,Random,FALSE,Full DMWA,Node + order,0.00100700699364804,1.0660043612301e-4,0,TRUE,FALSE,0,0,3.1839320739682286e-16,"Nodes +
order",0.10070069936480398
