network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
network_010,Full DMWA,3.5897435897435894,4.547144403762542,0.7894500968065256,0.5,1.0,-0.36664774376164777,True
network_011,Coverage,7.283783783783784,8.086482257906,0.9007357651298333,0.5,1.0,-0.44489824945728873,True
network_011,Constant bias,5.590090090090089,6.298493181830793,0.8875281640719677,0.5,1.0,-0.43663759614567416,True
network_011,Full DMWA,5.590090090090089,6.29484078122989,0.8880431268029457,0.5,1.0,-0.43696428145325183,True
network_012,Coverage,5.516666666666667,6.296027384623963,0.8762138932462974,0.5,1.0,-0.4293630769222997,True
network_012,Constant bias,4.3,4.959370513233665,0.8670455229198564,0.5,1.0,-0.42332901008911,True
network_012,Full DMWA,4.3,4.957097227280814,0.867443143203939,0.5,1.0,-0.4235933456650215,True
network_013,Coverage,6.4411764705882355,7.079947854343535,0.909777388633814,0.5,1.0,-0.45041500674045554,True
network_013,Constant bias,4.838235294117647,5.506042780122142,0.8787137127928961,0.5,1.0,-0.43098646041291166,True
network_013,Full DMWA,4.838235294117647,5.503042633533842,0.8791927695843996,0.5,1.0,-0.4312965059569904,True
network_014,Coverage,11.436170212765957,12.803815023377968,0.893184585366558,0.5,1.0,-0.44020529665231223,True
network_014,Constant bias,8.74113475177305,9.775302603610715,0.8942060523573282,0.5,1.0,-0.4408447597934645,True
network_014,Full DMWA,8.74113475177305,9.768862245370741,0.894795579282049,0.5,1.0,-0.4412131535102345,True
network_015,Coverage,4.611111111111111,5.471996859910705,0.8426742977309306,0.5,1.0,-0.4066509429012495,True
network_015,Constant bias,3.493827160493827,4.327608741644763,0.8073343430686281,0.5,1.0,-0.38067790093069764,True
network_015,Full DMWA,3.493827160493827,4.326669790618304,0.8075095465037883,0.5,1.0,-0.3808122737807748,True
network_016,Coverage,6.083333333333333,7.30859621672153,0.8323531842428392,0.5,1.0,-0.39929346163932733,True
network_016,Constant bias,4.583333333333333,5.708253548900974,0.8029309304622209,0.5,1.0,-0.37728143102898404,True
network_016,Full DMWA,4.583333333333333,5.704432334939405,0.803468787816206,0.5,1.0,-0.37769829073388383,True
network_017,Coverage,7.098039215686274,8.413703117294933,0.8436284376490272,0.5,1.0,-0.4073220179806075,True
network_017,Constant bias,5.387254901960784,6.536547246659005,0.8241743995217576,0.5,1.0,-0.393332284659493,True
